feature,is_existing,gain_pct(%),mean_abs_shap(0 - 1),"perm_delta_auc(auc scale, 0 - 1)"
id_31,FALSE,13.58752925,0.141633615,0.033138147
id_19,FALSE,31.33048676,0.140976671,0.027778688
amt_mean_24h,TRUE,4.073418902,0.156007336,0.015483223
id_29,FALSE,5.196339781,0.078231206,0.013000966
distinct_addr1_24h,TRUE,1.99904679,0.044029925,0.011849068
amt_zscore_7d,TRUE,4.883302491,0.143706582,0.011788896
id_20,FALSE,16.8386454,0.079685994,0.009703996
id_14,FALSE,0.498702301,0.003536259,0.006630858
secs_since_prev_txn,TRUE,1.892558469,0.050560049,0.00614321
txn_count_24h,TRUE,2.779310936,0.043398627,0.003856552
id_30,FALSE,3.594176686,0.038774467,0.00283165
amt_sum_24h,TRUE,1.085709774,0.030206103,0.002572225
id_33,FALSE,4.181127436,0.032175073,0.002439405
amt_sum_1h,TRUE,0.514873607,0.035607877,0.002294358
amt_mean_1h,TRUE,0.944799672,0.03231451,0.001800063
id_38,FALSE,0.751562766,0.004711281,0.000677145
id_13,FALSE,1.760129895,0.016822239,0.00035622
id_17,FALSE,0.155098647,0.003809862,0.000353101
id_12,FALSE,0.270388708,0.001058449,0.000232412
id_25,FALSE,0.66846669,0.00155436,0.000159041
id_18,FALSE,0.241312663,0.005486539,0.000143154
id_26,FALSE,0.016688082,0.000499537,0.000121245
txn_count_1h,TRUE,0.276513194,0.022686837,0.000115472
is_new_device,TRUE,0.532050604,0.001738508,9.33E-05
id_21,FALSE,0.71363622,0.002184224,8.00E-05
id_16,FALSE,0.528271887,0.003058018,5.52E-05
id_37,FALSE,0.154301731,0.001713361,3.05E-05
id_28,FALSE,0.016196448,0.002534288,1.49E-05
id_32,FALSE,0,0,0
id_22,FALSE,0,0,0
id_15,FALSE,0.019435374,0.000261887,-7.53E-06
id_36,FALSE,0.057142616,0.000890633,-0.000164496
id_35,FALSE,0.438776211,0.002459165,-0.000298798
