feature,actual_gain,null_p75,null_max,score
id_29,19267.255012512207,404.58942061662674,551.9239902496338,3.8608209338653645
id_19,118652.2514705658,5215.471539437771,5921.350577116013,3.1243757353999637
id_31,55534.23523044586,2814.36033141613,3330.6954758167267,2.9819094241268105
id_20,47970.68477630615,4537.544575691223,5201.795479297638,2.357983707900974
is_new_device,1963.0806159973145,217.7848957180977,324.9018087387085,2.194181225398449
distinct_addr1_24h,7910.1240911483765,1211.148394227028,1374.6685662269592,1.8757491519207428
txn_count_24h,10547.785570144653,1771.1890724301338,2166.889251947403,1.7837003928347497
amt_mean_24h,15135.1986951828,2558.721979379654,2820.183313846588,1.7771244198071687
id_30,13636.106300354004,2496.284643769264,3292.267481803894,1.6975171507291142
amt_zscore_7d,15805.57856464386,3673.652576684952,4068.5761349201202,1.458904360212527
amt_mean_1h,3249.1684045791626,1593.7151852846146,2171.2008497714996,0.711703935062792
secs_since_prev_txn,6809.878067970276,3642.033597409725,4095.0850715637207,0.6255574747638527
amt_sum_24h,3352.471082687378,2228.0464978814125,2494.593667268753,0.4081237959978758
txn_count_1h,973.2815113067627,670.0034492611885,905.4784777164459,0.3718990860005032
amt_sum_1h,1904.8008966445923,1585.3414008021355,1814.1600739955902,0.1829471279371848
